Month,C1_AVG_Time_Seconds,C1T_AVG_Time_Seconds,C2_AVG_Time_Seconds,C3_AVG_Time_Seconds,C4_AVG_Time_Seconds
Jun-19,5303,7643,16184,51224,61163
Dec-18,5324,7778,15914,50316,61145
Jan-19,5297,7972,16406,51117,61188
Apr-19,5266,7773,15565,47144,59902
Sep-18,5348,8019,15341,45506,62567
Nov-18,5432,8077,15654,47188,62999
Mar-19,5212,7686,15273,45867,59599
May-19,5250,7625,15456,46344,58885
Feb-19,5420,8043,16917,53768,65257
Jul-19,5537,8078,17322,55465,64682
Oct-18,5492,8217,14907,45023,58194
Aug-19,5438,7900,15861,48845,58765